Titre,Prix
The Dirty Little Secrets of Getting Your Dream Job,33.34
The Third Wave: An Entrepreneur’s Vision of the Future,12.61
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55
Shoe Dog: A Memoir by the Creator of NIKE,23.99
Made to Stick: Why Some Ideas Survive and Others Die,38.85
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14
The Art of Startup Fundraising,21.00
Born for This: How to Find the Work You Were Meant to Do,21.59
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91
"Rich Dad, Poor Dad",51.74
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92
Rework,44.88
