Titre,Prix
The Secret Garden,Â15.08
The Metamorphosis,Â28.58
The Pilgrim's Progress,Â50.26
The Hound of the Baskervilles (Sherlock Holmes #5),Â14.82
Little Women (Little Women #1),Â28.07
Gone with the Wind,Â32.49
Candide,Â58.63
Animal Farm,Â57.22
Wuthering Heights,Â17.73
The Picture of Dorian Gray,Â29.70
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Â26.78
Beowulf,Â38.35
And Then There Were None,Â35.01
The Story of Hong Gildong,Â43.19
The Little Prince,Â45.42
Sense and Sensibility,Â37.46
Of Mice and Men,Â47.11
Emma,Â32.93
Alice in Wonderland (Alice's Adventures in Wonderland #1),Â55.53
