Titre,Prix
Soumission,50.10
Private Paris (Private #10),47.61
"We Love You, Charlie Freeman",50.27
Thirst,17.27
The Murder That Never Was (Forensic Instincts #5),54.11
Tuesday Nights in 1980,21.04
The Vacationers,42.15
The Regional Office Is Under Attack!,51.36
Finders Keepers (Bill Hodges Trilogy #2),53.53
The Time Keeper,27.88
The Testament of Mary,52.67
The First Hostage (J.B. Collins #2),25.85
Take Me with You,45.21
Still Life with Bread Crumbs,26.41
Shtum,55.84
My Name Is Lucy Barton,41.56
My Mrs. Brown,24.48
Mr. Mercedes (Bill Hodges Trilogy #1),28.90
I Am Pilgrim (Pilgrim #1),10.60
Eligible (The Austen Project #4),27.09
Eight Hundred Grapes,14.39
Dear Mr. Knightley,11.21
Cometh the Hour (The Clifton Chronicles #6),25.01
Balloon Animals,17.03
A Man Called Ove,39.72
The Silent Sister (Riley MacPherson #1),46.29
The Dinner Party,56.54
The Improbability of Love,59.45
Mothering Sunday,13.34
Lies and Other Acts of Love,45.14
Daredevils,16.34
11/22/63,48.48
The Shack,28.03
The High Mountains of Portugal,51.15
Miller's Valley,58.54
Hystopia: A Novel,21.96
The Bourne Identity (Jason Bourne #1),42.78
Sister Dear,40.20
Memoirs of a Geisha,49.67
Me Before You (Me Before You #1),19.02
Deception Point,40.32
The Little Paris Bookshop,24.73
The Firm,45.56
The Expatriates,44.58
Siddhartha,34.22
Last One Home (New Beginnings #1),59.98
Digital Fortress,58.00
Atlas Shrugged,26.58
Three-Martini Lunch,23.21
The Nightingale,26.26
The Infinities,27.41
The Husband's Secret,52.51
The Da Vinci Code (Robert Langdon #2),22.96
The Art of Fielding,22.10
Lila (Gilead #3),12.47
Jurassic Park (Jurassic Park #1),44.97
Inferno (Robert Langdon #4),41.00
Crazy Rich Asians (Crazy Rich Asians #1),49.13
Big Little Lies,22.11
The Course of Love,16.78
When I'm Gone,51.96
The Silent Wife,12.34
The Bette Davis Club,30.66
Kitchens of the Great Midwest,57.20
Bright Lines,39.07
