Titre,Prix
Tipping the Velvet,Â53.74
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Â29.69
A Flight of Arrows (The Pathfinders #2),Â55.53
The House by the Lake,Â36.95
Mrs. Houdini,Â30.25
The Marriage of Opposites,Â28.08
Glory over Everything: Beyond The Kitchen House,Â45.84
"Love, Lies and Spies",Â20.55
A Paris Apartment,Â39.01
Lilac Girls,Â17.28
The Constant Princess (The Tudor Court #1),Â16.62
The Invention of Wings,Â37.34
World Without End (The Pillars of the Earth #2),Â32.97
The Passion of Dolssa,Â28.32
Girl With a Pearl Earring,Â26.77
Voyager (Outlander #3),Â21.07
The Red Tent,Â35.66
The Last Painting of Sara de Vos,Â55.55
The Guernsey Literary and Potato Peel Pie Society,Â49.53
Girl in the Blue Coat,Â46.83
Between Shades of Gray,Â20.79
While You Were Mine,Â41.32
The Secret Healer,Â34.56
Starlark,Â25.83
Lost Among the Living,Â27.70
A Spy's Devotion (The Regency Spies of London #1),Â16.97
