Titre,Prix
Rip it Up and Start Again,35.02
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25
How Music Works,37.32
Love Is a Mix Tape (Music #1),18.03
Please Kill Me: The Uncensored Oral History of Punk,31.19
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05
"Chronicles, Vol. 1",52.60
This Is Your Brain on Music: The Science of a Human Obsession,38.40
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36
No One Here Gets Out Alive,20.02
Life,31.58
Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66
Forever Rockers (The Rocker #12),28.80
