Titre,Prix
Sophie's World,Â15.94
The Death of Humanity: and the Case for Life,Â58.11
The Stranger,Â17.44
Proofs of God: Classical Arguments from Tertullian to Barth,Â54.21
Kierkegaard: A Christian Missionary to Christians,Â47.13
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Â29.93
Critique of Pure Reason,Â20.75
"Run, Spot, Run: The Ethics of Keeping Pets",Â20.02
The Nicomachean Ethics,Â36.34
Meditations,Â25.89
Beyond Good and Evil,Â43.38
