Titre,Prix
A Light in the Attic,51.77
The Black Maria,52.15
Shakespeare's Sonnets,20.66
Olio,23.88
You can't bury them all: Poems,33.63
Slow States of Collapse: Poems,57.31
Untitled Collection: Sabbath Poems 2014,14.27
Poems That Make Grown Women Cry,14.19
Night Sky with Exit Wounds,41.05
salt.,46.78
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89
Out of Print: City Lights Spotlight No. 14,53.64
Les Fleurs du Mal,29.04
Howl and Other Poems,40.45
Leave This Song Behind: Teen Poetry at Its Best,51.17
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42
The Crossover,38.77
Booked,17.49
Twenty Love Poems and a Song of Despair,30.95
