Titre,Prix
Chase Me (Paris Nights #2),25.27
Black Dust,34.53
Her Backup Boyfriend (The Sorensen Family #1),33.97
First and First (Five Boroughs #3),15.97
Fifty Shades Darker (Fifty Shades #2),21.96
The Wedding Dress,24.12
Suddenly in Love (Lake Haven #1),55.99
Something More Than This,16.24
Doing It Over (Most Likely To #1),35.61
The Wedding Pact (The O'Malleys #2),32.61
Hold Your Breath (Search and Rescue #1),28.82
Dirty (Dive Bar #1),40.83
Take Me Home Tonight (Rock Star Romance #3),53.98
Off the Hook (Fishing for Trouble #1),47.67
A Gentleman's Position (Society of Gentlemen #3),14.75
"Sit, Stay, Love",20.90
A Girl's Guide to Moving On (New Beginnings #2),31.30
The Perfect Play (Play by Play #1),59.99
Dark Lover (Black Dagger Brotherhood #1),12.87
Changing the Game (Play by Play #2),13.38
A Walk to Remember,56.43
The Purest Hook (Second Circle Tattoos #3),12.25
The Obsession,45.43
Reservations for Two,11.10
Best of My Love (Fool's Gold #20),27.41
Where Lightning Strikes (Bleeding Stars #3),39.77
This One Moment (Pushing Limits #1),48.71
"Rhythm, Chord & Malykhin",28.34
My Perfect Mistake (Over the Top #1),38.92
Listen to Me (Fusion #1),58.99
Imperfect Harmony,34.74
Fighting Fate (Fighting #6),39.24
Deep Under (Walker Security #1),47.09
Charity's Cross (Charles Towne Belles #4),41.24
Bounty (Colorado Mountain #7),37.26
