Titre,Prix
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36
Will You Won't You Want Me?,13.86
Keep Me Posted,20.46
Grey (Fifty Shades #4),48.49
Meternity,43.58
Some Women,13.73
Shopaholic Ties the Knot (Shopaholic #3),48.39
Can You Keep a Secret?,21.94
Twenties Girl,42.80
The Undomestic Goddess,45.75
The Nanny Diaries (Nanny #1),52.53
The Devil Wears Prada (The Devil Wears Prada #1),44.29
Something Borrowed (Darcy & Rachel #1),48.96
Something Blue (Darcy & Rachel #2),54.62
I've Got Your Number,19.69
The Edge of Reason (Bridget Jones #2),19.18
Bridget Jones's Diary (Bridget Jones #1),29.82
