Titre,Prix
The Requiem Red,22.65
Set Me Free,17.46
The Natural History of Us (The Fine Art of Pretending #2),45.22
Obsidian (Lux #1),14.86
Burning,28.81
A Fierce and Subtle Poison,28.13
Scarlett Epstein Hates It Here,43.55
"Nightingale, Sing",38.28
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56
Frostbite (Vampire Academy #2),29.99
Wild Swans,14.36
Until Friday Night (The Field Party #1),46.31
This Is Where It Ends,27.12
The Darkest Lie,35.35
My Kind of Crazy,40.36
Don't Get Caught,55.35
Catching Jordan (Hundred Oaks),50.83
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14
The Epidemic (The Program 0.6),14.44
Stars Above (The Lunar Chronicles #4.5),48.05
No Love Allowed (Dodge Cove #1),54.65
"Exit, Pursued by a Bear",51.34
The Alien Club,54.40
Don't Forget Steven,33.23
South of Sunshine,28.93
My Life Next Door (My Life Next Door ),36.39
Future Shock (Future Shock #1),55.65
Nightstruck: A Novel,50.35
Tell the Wolves I'm Home,50.96
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31
Where She Went (If I Stay #2),41.73
Two Summers,14.64
The Darkest Corners,11.33
Tell Me Three Things,41.81
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63
Kill the Boy Band,15.52
Isla and the Happily Ever After (Anna and the French Kiss #3),48.13
An Abundance of Katherines,10.00
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17
Walk the Edge (Thunder Road #2),32.36
Two Boys Kissing,32.74
The New Guy (and Other Senior Year Distractions),44.92
"The Land of 10,000 Madonnas",29.64
Scarlet (The Lunar Chronicles #2),14.57
Legend (Legend #1),43.69
Lady Renegades (Rebel Belle #3),53.04
Golden (Heart of Dread #3),42.21
Cinder (The Lunar Chronicles #1),26.09
Boy Meets Boy,21.12
Annie on My Mind,36.83
New Moon (Twilight #2),12.86
Girl Online On Tour (Girl Online #2),53.47
The Haters,27.89
The Art of Not Breathing,40.83
